270;-462408;-515740;-482548;-462408
271;-461356;-472390;-484961;-461356
272;-461356;-511786;-487775;-465411
273;-461356;-524891;-483518;-465411
274;-449411;-504504;-481955;-449411
275;-449411;-536433;-478561;-449411
276;-449411;-580917;-491226;-449411
277;-449411;-512732;-490429;-450586
278;-449411;-534562;-473055;-458780
279;-449411;-530429;-480333;-450304
280;-449411;-523982;-484581;-450304
281;-449411;-495489;-477402;-453162
282;-449411;-478789;-474544;-453162
283;-430043;-528754;-481797;-430043
284;-430043;-473011;-479349;-430043
285;-430043;-496284;-482140;-462948
286;-430043;-616447;-481130;-459266
287;-430043;-485202;-478715;-457844
288;-430043;-497507;-484570;-454140
289;-430043;-503340;-476991;-452741
290;-430043;-512029;-480392;-459254
291;-430043;-518943;-476414;-460598
292;-430043;-493160;-466907;-450842
293;-430043;-513072;-469105;-450842
294;-430043;-506750;-475222;-451903
295;-430043;-507455;-470400;-451390
296;-430043;-531130;-469613;-449344
297;-430043;-488930;-463814;-449909
298;-430043;-518455;-469884;-450419
299;-430043;-477632;-468634;-441450
300;-430043;-481173;-462859;-448540
301;-430043;-484504;-466370;-450419
302;-430043;-469715;-462920;-441873
303;-430043;-500732;-464910;-433464
304;-430043;-474692;-457457;-431850
305;-430043;-454713;-457984;-441578
306;-430043;-501368;-453029;-445456
307;-430043;-482016;-448591;-444744
308;-427943;-482395;-455210;-427943
309;-427943;-555525;-446784;-432163
310;-427943;-456272;-453159;-433909
311;-427943;-477521;-453074;-430663
312;-427943;-475503;-450827;-430663
313;-427943;-479754;-449528;-430728
314;-424847;-462148;-449222;-424847
315;-424847;-488352;-444009;-430728
316;-424847;-490435;-451242;-430728
317;-424847;-493824;-446860;-429611
318;-424847;-460794;-445038;-431322
319;-424847;-451133;-447896;-430028
320;-424847;-492901;-447204;-426554
321;-424847;-486113;-446918;-426605
322;-424847;-466976;-440992;-428897
323;-420849;-449818;-443467;-420849
324;-420849;-486484;-442664;-420849
325;-420849;-492441;-447269;-429886
326;-420849;-484681;-445035;-420971
327;-420849;-456460;-440950;-429886
328;-420849;-491247;-450687;-429886
329;-420849;-445033;-438477;-426266
330;-420849;-467076;-442046;-426266
331;-420849;-464046;-444449;-427993
332;-420849;-447497;-442586;-424512
333;-420849;-447136;-438300;-425370
334;-420781;-528249;-439981;-420781
335;-420781;-507206;-434852;-420781
336;-420115;-470590;-438570;-420115
337;-419125;-442759;-433556;-419125
338;-419125;-458025;-440950;-420115
339;-416987;-435928;-437374;-416987
340;-416987;-483143;-429816;-416987
341;-412328;-474610;-437657;-412328
342;-412328;-478969;-436776;-412467
343;-409005;-447462;-440016;-409005
344;-409005;-432674;-436158;-416296
345;-409005;-457786;-436252;-414099
346;-409005;-466442;-438921;-414099
347;-393521;-467048;-432899;-393521
348;-393521;-482801;-435689;-393521
349;-393521;-509008;-429249;-401537
350;-393521;-482986;-431186;-401537
351;-393521;-458373;-435122;-400629
352;-393521;-525646;-424610;-402291
353;-393521;-451424;-419735;-402496
354;-393521;-456810;-411366;-399863
355;-393521;-475762;-424162;-402969
356;-388616;-505607;-427733;-388616
357;-388616;-420691;-414446;-393586
358;-388616;-465367;-420711;-393586
359;-388616;-438135;-415866;-393586
360;-388616;-482481;-419078;-402503
361;-388616;-448349;-422690;-401860
362;-388616;-437305;-424189;-401677
363;-388616;-427752;-410218;-395072
364;-388616;-420815;-415653;-401935
365;-388616;-448179;-413314;-393687
366;-388616;-460235;-417919;-389854
367;-388616;-469102;-415755;-400114
368;-388616;-497654;-418098;-399466
369;-388616;-485655;-419738;-396583
370;-388616;-439274;-424108;-393304
371;-388616;-475004;-416626;-395470
372;-372805;-454147;-417030;-372805
373;-372805;-428973;-415870;-372805
374;-372805;-417179;-411865;-378124
375;-372805;-453648;-414819;-378124
376;-372805;-429836;-408319;-385382
377;-372805;-433871;-413025;-397260
378;-372805;-428448;-413651;-387364
379;-372805;-462887;-410835;-397231
380;-372805;-436049;-410556;-396150
381;-372805;-423114;-409802;-390913
382;-372805;-452002;-410117;-389139
383;-372805;-428847;-412863;-387106
384;-372805;-435670;-411421;-383944
385;-372805;-397085;-412799;-385821
386;-372805;-438788;-414962;-382509
387;-372805;-440470;-408879;-382509
388;-372805;-470172;-416849;-381633
389;-372805;-415779;-412301;-381633
390;-372805;-452473;-409332;-383887
391;-372805;-463148;-405883;-383320
392;-372805;-419963;-406558;-383320
393;-372805;-419910;-407298;-382020
394;-372805;-473854;-409667;-385465
395;-372805;-447171;-407757;-388087
396;-372805;-421429;-397947;-388993
397;-372805;-472418;-400651;-388993
398;-372805;-486635;-405870;-392025
