Iterations;Overall best;Worst;Average;Best
357;-602714;-705119;-607393;-602714
358;-602354;-677006;-607060;-602354
359;-600285;-679537;-605307;-600285
360;-599862;-705909;-604786;-599862
361;-599181;-755038;-603650;-599181
362;-598761;-795018;-602606;-598761
363;-598664;-755366;-601755;-598664
364;-597848;-705517;-601433;-597848
365;-597447;-741464;-601886;-597447
366;-596237;-706719;-601882;-596237
367;-596105;-751398;-601944;-596105
368;-594106;-760267;-599277;-594106
369;-593286;-737569;-598646;-593286
370;-593155;-745676;-596276;-593155
371;-592381;-756998;-595329;-592381
372;-592381;-740467;-595370;-592381
373;-592300;-733799;-594371;-592300
374;-591583;-676701;-594932;-591583
375;-590165;-683441;-594411;-590165
376;-588699;-714096;-594845;-588699
377;-588231;-750316;-593033;-588231
378;-587836;-701020;-591114;-587836
379;-587836;-708022;-590886;-587836
380;-587836;-720198;-590048;-587836
381;-585305;-670100;-590102;-585305
382;-584510;-704686;-590884;-584510
383;-578123;-710898;-587648;-578123
384;-576642;-698925;-587342;-576642
385;-576337;-649984;-580322;-576337
386;-574910;-670159;-578805;-574910
387;-574842;-685162;-579086;-574842
388;-574132;-685406;-577568;-574132
389;-573421;-674028;-578496;-573421
390;-572805;-696510;-577650;-572805
391;-570942;-680539;-575108;-570942
392;-568608;-669234;-575212;-568608
393;-566184;-726757;-573741;-566184
394;-566184;-692807;-571341;-566184
395;-565292;-736147;-568580;-565292
396;-563974;-676306;-568766;-563974
397;-563949;-669304;-567686;-563949
398;-562895;-677687;-566880;-562895
399;-562857;-677215;-566467;-562857
400;-561939;-642971;-565216;-561939
401;-557920;-743307;-565473;-557920
402;-557920;-681636;-561914;-557920
403;-557097;-678800;-560272;-557097
404;-556796;-650730;-560727;-556796
405;-555731;-728166;-560250;-555731
406;-554752;-659847;-560415;-554752
407;-553611;-696002;-559103;-553611
408;-553611;-658506;-560064;-553611
409;-553611;-744396;-555975;-553611
410;-553475;-708972;-556313;-553475
411;-553475;-651622;-555302;-553475
412;-552885;-692341;-556176;-552885
413;-552673;-664655;-556864;-552673
414;-552530;-720063;-556514;-552530
415;-552530;-626691;-555373;-552530
416;-552061;-653607;-554855;-552061
417;-551450;-727381;-555283;-551450
418;-550817;-696420;-555088;-550817
419;-550707;-711878;-555142;-550707
420;-549722;-747146;-553779;-549722
421;-549722;-711186;-553523;-549722
422;-548764;-683392;-552327;-548764
423;-548562;-686065;-552581;-548562
424;-548562;-673471;-551309;-548562
425;-548244;-655703;-550399;-548244
426;-547763;-654244;-551017;-547763
427;-547395;-652944;-552097;-547395
428;-547370;-656304;-556763;-547370
429;-547216;-694937;-549950;-547216
430;-547216;-707179;-549420;-547216
431;-547216;-629440;-549065;-547216
432;-547216;-642922;-549585;-547216
433;-546490;-721451;-549680;-546490
434;-546490;-671052;-550927;-546490
435;-546490;-685067;-548778;-546490
436;-546490;-642431;-548724;-546490
437;-546490;-644231;-548494;-546490
438;-546404;-647390;-548832;-546404
439;-545724;-652787;-549697;-545724
440;-545228;-688779;-549458;-545228
441;-544874;-637334;-547856;-544874
442;-544266;-633063;-547485;-544266
443;-543913;-649240;-547033;-543913
444;-543327;-642739;-546261;-543327
445;-542137;-683552;-547381;-542137
446;-541162;-614507;-547101;-541162
447;-541078;-638925;-545526;-541078
